CompanyCode,Term,Miles,FromMiles,ToMiles,Coverage,State,Class,PlanDeduct,Deduct0,Deduct50,Deduct100,Deduct200,Deduct250,Deduct500,Markup,New/Used,MaxYears,SurchargeCode,PlanCode,RateCardCode,ClassListCode,MinYear,IncScCode,IncScAmt
,12,10000,10000,60000,Elite Plus Used,,C,0,1874.45,,,,,,,,9,,,,,0,,
,12,10000,10000,60000,Elite Plus Used,,D,0,2317.48,1790.25,,,,,,,9,,,,,0,,
,12,10000,10000,60000,Elite Plus Used,,E,100,3463.45,2692.75,2216.79,,,,,,9,,,,,0,,
,12,10000,10000,60000,Elite Plus Used,,F,100,4453.79,3472.6,2866.67,1859.83,,,,,9,,,,,0,,
,12,10000,10000,60000,Elite Plus Used,,G,100,7025.84,5495.45,4552.67,2985.65,,,,,9,,,,,0,,
,12,10000,10000,60000,Elite Plus Used,,H,100,10513.18,8239.54,6839.12,4510.55,,,,,9,,,,,0,,
,12,10000,10000,60000,Elite Plus Used,,C,0,2115.45,,,,,,,,15,,,,,10,,
,12,10000,10000,60000,Elite Plus Used,,D,0,2611.03,2021.23,,,,,,,15,,,,,10,,
,12,10000,10000,60000,Elite Plus Used,,E,100,3893.03,3030.85,2498.4,,,,,,15,,,,,10,,
,12,10000,10000,60000,Elite Plus Used,,F,100,5000.96,3903.29,3225.44,2099.07,,,,,15,,,,,10,,
,12,10000,10000,60000,Elite Plus Used,,G,100,7878.29,6166.24,5111.54,3358.55,,,,,15,,,,,10,,
,12,10000,10000,60000,Elite Plus Used,,H,100,11779.57,9236.09,7669.4,5064.47,,,,,15,,,,,10,,
,12,10000,60001,70000,Elite Plus Used,,B,0,1876.28,,,,,,,,9,,,,,0,,
,12,10000,60001,70000,Elite Plus Used,,C,100,2432.79,1881.79,1541.29,,,,,,9,,,,,0,,
,12,10000,60001,70000,Elite Plus Used,,D,100,2996.63,2324.8,1911.08,,,,,,9,,,,,0,,
,12,10000,60001,70000,Elite Plus Used,,E,100,4457.46,3474.45,2868.49,1861.64,,,,,9,,,,,0,,
,12,10000,60001,70000,Elite Plus Used,,F,100,5720.6,4468.44,3697.77,2414.51,,,,,9,,,,,0,,
,12,10000,60001,70000,Elite Plus Used,,G,100,8997.41,7045.97,5846.93,3847.89,,,,,9,,,,,0,,
,12,10000,60001,70000,Elite Plus Used,,H,100,13442.17,10544.29,8761.28,5791.99,,,,,9,,,,,0,,
,12,10000,60001,70000,Elite Plus Used,,B,0,2117.49,,,,,,,,15,,,,,10,,
,12,10000,60001,70000,Elite Plus Used,,C,100,2740.03,2123.63,1742.73,,,,,,15,,,,,10,,
,12,10000,60001,70000,Elite Plus Used,,D,100,3370.8,2619.23,2156.41,,,,,,15,,,,,10,,
,12,10000,60001,70000,Elite Plus Used,,E,100,5005.08,3905.35,3227.47,2101.14,,,,,15,,,,,10,,
,12,10000,60001,70000,Elite Plus Used,,F,100,6418.12,5017.37,4155.2,2719.58,,,,,15,,,,,10,,
,12,10000,60001,70000,Elite Plus Used,,G,100,10083.91,7900.83,6559.43,4323.1,,,,,15,,,,,10,,
,12,10000,60001,70000,Elite Plus Used,,H,100,15056.23,11814.38,9819.71,6497.99,,,,,15,,,,,10,,
,12,10000,70001,80000,Elite Plus Used,,A,0,1546.77,,,,,,,,9,,,,,0,,
,12,10000,70001,80000,Elite Plus Used,,B,0,2213.12,1707.86,,,,,,,9,,,,,0,,
,12,10000,70001,80000,Elite Plus Used,,C,100,2863.0,2218.61,1823.21,,,,,,9,,,,,0,,
,12,10000,70001,80000,Elite Plus Used,,D,100,3520.19,2736.7,2255.23,,,,,,9,,,,,0,,
,12,10000,70001,80000,Elite Plus Used,,E,100,5222.68,4082.22,3371.91,2196.65,,,,,9,,,,,0,,
